Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Density,Density_Err,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,n_Kills_Tot,n_Kills_Prey,n_Kill_Anal,Prop_Kills,Ratio_Kills,Prop_Kills_Anal,Perc_Kills_Anal,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,,,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Period_Code,A_C_Code,A_Code,C_Code,Study_Code,Area_Code,Scat_Kill,n_Prey_Species
,Jędrzejewski 2012,10. Roztocze,8590,Roe deer,Capreolus capreolus,Capreolus capreolus,2000-2003,,1.83286119,,,0.647,,,22.4,,,,,0.175,0.2120752729,84,,,,,,,,,,,0.577,,,,,,,39,,,,,,,Wild,,,,,,,,,,,,,,,JEI12RAS-R,RAS-R,Scat and Kill,4
,Jędrzejewski 2012,10. Roztocze,8590,Wild boar,Sus scrofa,Sus scrofa,2000-2003,,0.1235955056,,,0.11,,,84.5,,,,,0.112,0.1264010183,84,,,,,,,,,,,0.058,,,,,,,39,,,,,,,Wild,,,,,,,,,,,,,,,JEI12RAS-R,RAS-R,Scat and Kill,4
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Moose,Alces alces,Alces alces,1998-2005,,0,,,0,,,481,,,,,0.000,0,87,,,,,,,,,,,0,,,,,,,1050,,,,,,,Wild,,,,,,,,,,,,,,,JEI12BZM,BZM,Scat and Kill,4
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Red deer,Cervus elaphus,Cervus elaphus,1998-2005,,1.141327623,,,0.533,,,240,,,,,0.899,8.938578716,87,,,,,,,,,,,0.442,,,,,,,1050,,,,,,,Wild,,,,,,,,,,,,,,,JEI12BZM,BZM,Scat and Kill,4
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Roe deer,Capreolus capreolus,Capreolus capreolus,1998-2005,,0.6806722689,,,0.405,,,22.4,,,,,0.064,0.06812907877,87,,,,,,,,,,,0.266,,,,,,,1050,,,,,,,Wild,,,,,,,,,,,,,,,JEI12BZM,BZM,Scat and Kill,4
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Wild boar,Sus scrofa,Sus scrofa,1998-2005,,0.06609808102,,,0.062,,,84.5,,,,,0.037,0.03824310909,87,,,,,,,,,,,0.151,,,,,,,1050,,,,,,,Wild,,,,,,,,,,,,,,,JEI12BZM,BZM,Scat and Kill,4
,Jędrzejewski 2012,12. Beskidy Mountains,2190,Moose,Alces alces,Alces alces,1999-2004,,0,,,0,,,481,,,,,0.000,0,,,,,,,,,,,,,,,,,,,667,,,,,,,Wild,,,,,,,,,,,,,,,JEI12BKM,BKM,Kill,4
,Jędrzejewski 2012,12. Beskidy Mountains,2190,Red deer,Cervus elaphus,Cervus elaphus,1999-2004,,0.5751633987,,,0.352,,,240,,,,,0.815,4.406265158,,,,,,,,,,,,,,,,,,,667,,,,,,,Wild,,,,,,,,,,,,,,,JEI12BKM,BKM,Kill,4
,Jędrzejewski 2012,12. Beskidy Mountains,2190,Roe deer,Capreolus capreolus,Capreolus capreolus,1999-2004,,1.257611241,,,0.573,,,22.4,,,,,0.124,0.1413295896,,,,,,,,,,,,,,,,,,,667,,,,,,,Wild,,,,,,,,,,,,,,,JEI12BKM,BKM,Kill,4
,Jędrzejewski 2012,12. Beskidy Mountains,2190,Wild boar,Sus scrofa,Sus scrofa,1999-2004,,0.08436445444,,,0.075,,,84.5,,,,,0.061,0.06512343395,,,,,,,,,,,,,,,,,,,667,,,,,,,Wild,,,,,,,,,,,,,,,JEI12BKM,BKM,Kill,4
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Moose,Alces alces,Alces alces,1997-2001,,0,,,0,,,481,,,,,0.000,0,390,,,,,,,,,,,0,,,,,,,93,,,,,,,Wild,,,,,,,,,,,,,,,JEI12WBM,WBM,Scat and Kill,4
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Red deer,Cervus elaphus,Cervus elaphus,1997-2001,,0.2658227848,,,0.21,,,240,,,,,0.708,2.422960435,390,,,,,,,,,,,0.422,,,,,,,93,,,,,,,Wild,,,,,,,,,,,,,,,JEI12WBM,WBM,Scat and Kill,4
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Roe deer,Capreolus capreolus,Capreolus capreolus,1997-2001,,2.846153846,,,0.74,,,22.4,,,,,0.233,0.3034508009,390,,,,,,,,,,,0.325,,,,,,,93,,,,,,,Wild,,,,,,,,,,,,,,,JEI12WBM,WBM,Scat and Kill,4
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Wild boar,Sus scrofa,Sus scrofa,1997-2001,,0.05263157895,,,0.05,,,84.5,,,,,0.059,0.06308229814,390,,,,,,,,,,,0.042,,,,,,,93,,,,,,,Wild,,,,,,,,,,,,,,,JEI12WBM,WBM,Scat and Kill,4
,Klich 2021,Grodno,Not given,Wild boar,Sus scrofa,,,,,,,,,,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,,
,Klich 2021,,Not given,Elk,Alces alces,,,,,,,,,,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,,,,,,,,,,
,Klich 2021,,Not given,Red deer,Cervus elaphus,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,,
,Klich 2021,,Not given,Roe deer,Capreolus capreolus,,,,,,,,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,,
,Klich 2021,,Not given,Beaver,Not given,Castor fiber,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,"Spend more time on land in the spring and autumn, making them more vulnerable to predation during these times. "" Beavers can be attractive prey for lone wolves or small packs, because they are an easier food source compared to ungulates [62,63].""",,,,,,,,,,,,,,,
,Klich 2021,Vitebsk,Not given,Wild boar,Sus scrofa,,,,,,,,,,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,,
,Klich 2021,,Not given,Elk,Alces alces,,,,,,,,,,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,,
,Klich 2021,,Not given,Red deer,Cervus elaphus,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,,,,,,,,,,
,Klich 2021,,Not given,Roe deer,Capreolus capreolus,,,,,,,,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,,
,Klich 2021,,Not given,Beaver,Not given,Castor fiber,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,"Spend more time on land in the spring and autumn, making them more vulnerable to predation during these times. "" Beavers can be attractive prey for lone wolves or small packs, because they are an easier food source compared to ungulates [62,63].""",,,,,,,,,,,,,,,
not available in 2 of the 3 territories from Jan-March,Kojola 2004,Kainuu,8000,Forest reindeer,Rangifer tarandus fennicus,Rangifer tarandus fennicus,1998-2000 (year-round except Aprils),1600,0.6666666667,0.2,,0.4,90,external source,108,,,172800,21.6,0.130198915,0.1496881497,443,,,,,,,,,,,0.211,,,,,,,,,,,,,,Wild,,,"Short april migration prior to calving dilutes the population = spacing tactic that likely decreases risk of predation. Aggregate into winter range from Jan-March. Terrain here does not allow for escape to higher elevations. In this SA they prefer mosaic of different habitat types . Better adapted (morphologically and behaviourally) to snow than other boreal ungulates as they have large dewclaws, foot loading 2.3 times smaller than moose. wolves usually fall behind when reindeer escape into deep snow, reindeer are faster than wolves on hard surfaes like lake ice (where reindeer comonly use to rest) (see discussion for sources). spatially sedentary during winter with a mean winter home range of 155km^2. Most vulnerable to wolves during autumn rut and early winter. ",,,,,,,,,P-1-2,,,KOA04KAI,KAI,Scat,2
"Paper gives 2 moose density values: before hunting season= 375/1000km^2 , after hunting season= 250/1000km^2 (prehunting is sometime before october, post hunting is sometime after october). Presumably each value represents half the year cuz numbers cannot increase until calving in spring. The abstract says that the overall ratio is roughly 1 reindeer to 1.5 moose so we used 0.3 as density for moose",Kojola 2004,Kainuu,8000,Moose,Alces alces,Alces alces,1998-2000 (year-round except Aprils),2400,1.5,0.3,,0.6,200-225,"200kg for summer (may-sept) and 225kg for early winter (nov-dec). ""Mean masses of moose were calculated from the body mass of calves, yearlings, adult females and males in proportion to their prevalence among all moose killed by wolves""",481,,,1154400,144.3,0.869801085,6.680555556,443,,,,,,,,,,,0.758,,,,,,,,,,,,,,Wild,,,Pop declines 30% in autumn due to hunting (375/km^2 to 250/km^2). Less well adapted to snow than reindeer. Moose footloading is 2.3 times larger than than of reindeer,,,,,,,,,P-3-2,,,KOA04KAI,KAI,Scat,2
"Number of wolf killed moose is reported in text as 23 but in table 1 its reported as 5, table is just raw numbers from this study so RB assumes 5 is correct. no total sum of all kills is ever actually given.  WT deer could be broken down into sex and age classes. Any deer which could not be ID'd to species and was found in a WT deer winter range, was assumed to be a WT deer. Density is tracks/km^2",Kunkel 1999,North Fork Flathead River Glacier National Park,1000,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1992-1996 Winter (Nov-Apr),14800,2.901960784,14.8,,0.74,,,75,,,1110000,1110,0.3975787098,0.6599678935,,,,,,,,,,,,,,10350,18275,0.5663474692,1.305993691,,166,138,166,0.83,,,,Wild,,,prefer closed habitats,,,,,,,,,P-3-4,,,KUL99NFF,NFF,Kill,3
elk could be broken down into age classes. The 68 additional elk carcasses from 1985-1991 (almost certainly from Boyd) were not included in extraction. Density is tracks/km^2,Kunkel 1999,North Fork Flathead River Glacier National Park,1000,Elk,Cervus elaphus,Cervus elaphus,1992-1996 Winter (Nov-Apr),3200,0.1916167665,3.2,,0.16,,,240,,,768000,768,0.2750814857,0.3794653886,,,,,,,,,,,,,,5520,18275,0.3020519836,0.4327714622,,166,23,166,0.14,,,,Wild,,,,,,,,,,,,P-3-4,,,KUL99NFF,NFF,Kill,3
Density is tracks/km^2,Kunkel 1999,North Fork Flathead River Glacier National Park,1000,Moose,Alces alces,Alces alces,1992-1996 Winter (Nov-Apr),1900,0.1055555556,1.9,,0.1,,,481,,,913900,913.9,0.3273398044,0.4866347178,,,,,,,,,,,,,,2405,18275,0.1316005472,0.1515437933,,166,5,166,0.03,,,,Wild,,,,,,,,,,,,P-3-4,,,KUL99NFF,NFF,Kill,3
,Lagos 2018,Valley of the river Eume (VDE),302,Roe deer,Capreolus capreolus,Capreolus capreolus,,673,0.01786757288,2.23,,0.01755392681,,"average weights of adults (no source given, probably estimates)",22.4,,,15075.2,49.952,0.0008241376059,0.000824817369,293,41,256,0.1399317406,,13.36,,,0.1906976744,,,,,25.3462,796.1284,0.03183682431,0.0328837381,,,,,,,,,Wild,,,,,,,,,,,,P-3-3,,,LAS18VRE,VRE,Scat,6
,Lagos 2018,Valley of the river Eume (VDE),302,Wild boar,Sus scrofa,Sus scrofa,,314,0.008257725181,1.04,,0.008190093638,,"average weights of adults (no source given, probably estimates)",84.5,,,26533,87.88,0.001449896157,0.001452001408,293,7,256,0.02389078498,,2.28,,,0.0281124498,,,,,7.805,796.1284,0.009803694982,0.009900759003,,,,,,,,,Wild,,,,,,,,,,,,P-3-3,,,LAS18VRE,VRE,Scat,6
,Lagos 2018,Valley of the river Eume (VDE),302,Red deer,Cervus elaphus,Cervus elaphus,,0,0,,,0,,"average weights of adults (no source given, probably estimates)",240,,,0,0,0,0,293,1,256,0.003412969283,,0.33,,,0.003921568627,,,,,2.359,796.1284,0.002963089873,0.002971895868,,,,,,,,,Wild,,,,,,,,,,,,P-3-3,,,LAS18VRE,VRE,Scat,6
This breed is on the smaller side (wikipedia says 135kg-300kg),Lagos 2018,Valley of the river Eume (VDE),302,Galician wild ponies,Equus ferus atlanticus,Equus caballus,,448,0.01182338814,1.483443709,,0.01168522914,300,"average weights of adults (no source given, probably estimates)",400,445.0331126,,179200,593.3774834,0.009789892269,0.009886681819,293,114,256,0.3890784983,,37.13,,,0.8028169014,,,,,414.846,796.1284,0.5210792631,1.088028191,,,,,,,,,Livestock,,,feral,,,,,,,,,P-3-3,,,LAS18VRE,VRE,Scat,6
Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Valley of the river Eume (VDE),302,Cattle,Bos taurus,Bos taurus,,28976,3.094734594,95.94701987,,0.7557839276,600,"average weights of adults (no source given, probably estimates)",613,57568.21192,,17762288,58815.52318,0.9703732476,32.75327768,293,60,256,0.204778157,,19.54,,,0.306122449,,,,,320.58,796.1284,0.4026737396,0.6741269658,,,,,,,,,Livestock,,,permanently in pastures,,,,,,,,,P-3-3,,,LAS18VRE,VRE,Scat,6
sheep and goats lumped together. Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Valley of the river Eume (VDE),302,Sheep + Goats,Ovis aries + Capra hircus,Capra hircus and Ovis aries,,7928,0.2606951432,26.25165563,,0.2067868228,45,"average weights of adults (no source given, probably estimates)",40.55,1181.324503,,321480.4,1064.504636,0.01756282635,0.01787679337,293,33,256,0.1126279863,,10.75,,,0.1479820628,,,,,25.1922,796.1284,0.03164338818,0.03267741222,,,,,,,,,Livestock,,,,,,,,,,,,P-3-3,,,LAS18VRE,VRE,Scat,6
,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Roe deer,Capreolus capreolus,Capreolus capreolus,,386,0.007130980972,1.49,,0.007080490131,,"average weights of adults (no source given, probably estimates)",22.4,,,8646.4,33.376,0.000316282463,0.0003163825293,1063,71,820,0.06679209784,,6.39,,,0.09479305741,,,,,43.8922,2898.5628,0.01514274592,0.01537557433,,,,,,,,,Wild,,,,,,,,,,,,P-3-3,,,LAS18CDG,CDG,Scat,5
,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Wild boar,Sus scrofa,Sus scrofa,,427,0.007894396273,1.65,,0.007832562917,,"average weights of adults (no source given, probably estimates)",84.5,,,36081.5,139.425,0.001321239286,0.001322987269,1063,23,820,0.02163687676,,2.07,,,0.02885821832,,,,,25.645,2898.5628,0.008847488141,0.008926464934,,,,,,,,,Wild,,,,,,,,,,,,P-3-3,,,LAS18CDG,CDG,Scat,5
This breed is on the smaller side (wikipedia says 135kg-300kg),Lagos 2018,Centre of the Dorsal Galega (CDG),259,Galician wild ponies,Equus ferus atlanticus,Equus caballus,,215,0.003959411429,0.8301158301,,0.003943796317,300,"average weights of adults (no source given, probably estimates)",400,249.034749,,86000,332.046332,0.003146585323,0.003156517575,1063,377,820,0.3546566322,,34.47,,,0.8510158014,,,,,1371.903,2898.5628,0.4733045632,0.8986304611,,,,,,,,,Livestock,,,feral,,,,,,,,,P-3-3,,,LAS18CDG,CDG,Scat,5
Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Cattle,Bos taurus,Bos taurus,,43727,4.052924275,168.8301158,,0.8020947979,600,"average weights of adults (no source given, probably estimates)",613,101298.0695,,26804651,103492.861,0.98073397,50.90482931,1063,260,820,0.2445907808,,23.4,,,0.4642857143,,,,,1389.18,2898.5628,0.4792651034,0.9203629457,,,,,,,,,Livestock,,,,,,,,,,,,P-3-3,,,LAS18CDG,CDG,Scat,5
sheep and goats lumped together. Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Sheep + Goats,Ovis aries + Capra hircus,Capra hircus and Ovis aries,,9761,0.2180985365,37.68725869,,0.1790483528,45,"average weights of adults (no source given, probably estimates)",40.55,1695.926641,,395808.55,1528.21834,0.01448192295,0.01469473091,1063,89,820,0.08372530574,,8.01,,,0.121751026,,,,,67.9426,2898.5628,0.02344009935,0.02400272562,,,,,,,,,Livestock,,,,,,,,,,,,P-3-3,,,LAS18CDG,CDG,Scat,5
,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Roe deer,Capreolus capreolus,Capreolus capreolus,,1393,0.08585516179,5.64,,0.07906686344,,"average weights of adults (no source given, probably estimates)",22.4,,,31203.2,126.336,0.01428948749,0.01449663701,1384,741,1159,0.5354046243,,49.04,,,1.772727273,,,,,458.0862,980.631,0.4671341208,0.876644835,,,,,,,,,Wild,,,,,,,,,,,,P-3-3,,,LAS18SMC,SMC,Scat,5
,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Wild boar,Sus scrofa,Sus scrofa,,1393,0.08585516179,5.64,,0.07906686344,,"average weights of adults (no source given, probably estimates)",84.5,,,117708.5,476.58,0.05390453988,0.05697579383,1384,285,1159,0.2059248555,,18.86,,,0.3260869565,,,,,317.775,980.631,0.3240515546,0.4794027662,,,,,,,,,Wild,,,,,,,,,,,,P-3-3,,,LAS18SMC,SMC,Scat,5
,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Red deer,Cervus elaphus,Cervus elaphus,,0,0,,,0,,"average weights of adults (no source given, probably estimates)",240,,,0,0,0,0,1384,36,1159,0.02601156069,,2.38,,,0.0320569902,,,,,84.924,980.631,0.08660138217,0.09481225445,,,,,,,,,Wild,,,,,,,,,,,,P-3-3,,,LAS18SMC,SMC,Scat,5
Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Cattle,Bos taurus,Bos taurus,,2504,0.1656742093,10.13765182,,0.1421273697,600,"average weights of adults (no source given, probably estimates)",613,6082.591093,,1534952,6214.380567,0.7028900186,2.365757001,1384,10,1159,0.007225433526,,0.66,,,0.008703220191,,,,,53.43,980.631,0.05448532628,0.0576250457,,,,,,,,,Livestock,,,,,,,,,,,,P-3-3,,,LAS18SMC,SMC,Scat,5
sheep and goats lumped together. Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Sheep + Goats,Ovis aries + Capra hircus,Capra hircus and Ovis aries,,12328,2.330434783,49.91093117,,0.6997389034,45,"average weights of adults (no source given, probably estimates)",40.55,2245.991903,,499900.4,2023.888259,0.228915954,0.2968754901,1384,87,1159,0.06286127168,,5.76,,,0.08115671642,,,,,66.4158,980.631,0.0677276162,0.07264788422,,,,,,,,,Livestock,,,,,,,,,,,,P-3-3,,,LAS18SMC,SMC,Scat,5
,Mattioli 2004,Casentinesi Forest Area,130.7,Roe deer,Capreolus capreolus,Capreolus capreolus,May 1988-April 2000,1595,0.5325542571,12.2,,0.3474945534,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,35728,273.28,0.1098488754,0.1234047482,1862,444,2103,23.9,,,,,0.2676311031,19.1,15.9,,,274.4808,2368.21016,0.1159022137,0.1310965998,,,,,,,,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,,,,,P-12-12,,,MAI04CFA,CFA,Scat,4
,Mattioli 2004,Casentinesi Forest Area,130.7,Wild boar,Sus scrofa,Sus scrofa,May 1988-April 2000,993,0.2760633862,7.6,,0.2163398693,,,84.5,,,83908.5,642.2,0.2581416415,0.3479662101,1862,1220,2103,65.5,,,,,1.381653454,58.7,,,,1360.3,2368.21016,0.5744000355,1.349624256,,,,,,,,,Wild,,,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,,,,,,,P-12-12,,,MAI04CFA,CFA,Scat,4
=(Total ungulates) - (known roe deer and wild boar). Density is Red deer (6.2/km^2) and Fallow deer (1.5/km^2). Took the weighted mean (weighted by density) of red deer and follow deer from PanTheria,Mattioli 2004,Casentinesi Forest Area,130.7,Red deer + Fallow deer,,Cervus elaphus and Dama dama,May 1988-April 2000,1006,0.2806919643,7.7,,0.2191721133,,,204.195,,,205420.17,1572.3015,0.6320094831,1.717461332,1862,331,2103,17.8,,,,,0.1867945824,13.1,,,,686.01736,2368.21016,0.2896775681,0.4078113757,,,,,,,,,Wild,,,,,,,,,,,,P-12-12,,,MAI04CFA,CFA,Scat,4
"""Farms are distributed exclusively in the lower part of the area: about 960 sheep and a few dozen cattle and horses were present in 1990""",Mattioli 2004,Casentinesi Forest Area,130.7,Livestock,,Livestock,May 1988-April 2000,996,0.2771285476,7.620504973,,0.2169934641,,,,,,0,0,0,0,1862,108,2103,5.8,,,,,0.05413533835,4.4,,,,47.412,2368.21016,0.02002018267,0.02042917855,,,,,,,,,Livestock,,,,,,,,,,,,P-12-12,,,MAI04CFA,CFA,Scat,4
,Mattioli 2004,SAF,98.7,Roe deer,Capreolus capreolus,Capreolus capreolus,"Jan 1996-Feb 2000, except 1997",1826,5.129213483,18.5,,0.8368469294,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,40902.4,414.4,0.4086583502,0.6910697907,457,113,508,24.7,,,,,0.2860759494,18.8,16.8,,,69.8566,563.7736,0.1239089592,0.1414338846,,,,,,,,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,,,,,P-4-4,,,MAI04MUG,MUG,Scat,3
,Mattioli 2004,SAF,98.7,Wild boar,Sus scrofa,Sus scrofa,"Jan 1996-Feb 2000, except 1997",168,0.08341608739,1.7,,0.07699358387,,,84.5,,,14196,143.65,0.1416596815,0.1650390625,457,352,508,77.1,,,,,2.256410256,70.1,,,,392.48,563.7736,0.6961659787,2.29127066,,,,,,,,,Wild,,,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,,,,,,,P-4-4,,,MAI04MUG,MUG,Scat,3
,Mattioli 2004,SAF,98.7,Red deer,Cervus elaphus,Cervus elaphus,"Jan 1996-Feb 2000, except 1997",188,0.09428284855,1.9,,0.08615948671,,,240,,,45120,456,0.4496819683,0.8171310814,457,43,508,9.3,,,,,0.09247311828,7.5,,,,101.437,563.7736,0.1799250621,0.2194007569,,,,,,,,,Wild,,,,,,,,,,,,P-4-4,,,MAI04MUG,MUG,Scat,3
,Mattioli 2004,VS,143.6,Roe deer,Capreolus capreolus,Capreolus capreolus,Mar 1997-Feb 2000,3016,3.442922374,21,,0.7749229188,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,67558.4,470.4,0.3765673294,0.6040224505,191,97,212,50.7,,,,,0.8434782609,40.7,16,,,59.9654,191.06308,0.3138513207,0.4574100777,,,,,,,,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,,,,,P-3-3,,,MAI04VLS,VLS,Scat,3
,Mattioli 2004,VS,143.6,Wild boar,Sus scrofa,Sus scrofa,Mar 1997-Feb 2000,560,0.1680672269,3.9,,0.1438848921,,,84.5,,,47320,329.55,0.2638132726,0.3583510307,191,112,212,58.5,,,,,1.12,48.4,,,,124.88,191.06308,0.6536061284,1.886887102,,,,,,,,,Wild,,,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,,,,,,,P-3-3,,,MAI04VLS,VLS,Scat,3
Total ungulates - known roe deer and wild boar. Density is Red deer (0.7/km^2) and Fallow deer (1.5/km^2),Mattioli 2004,VS,143.6,Red deer + Fallow deer,,Cervus elaphus and Dama dama,Mar 1997-Feb 2000,316,0.08836689038,2.2,,0.08119218911,,,204.195,,,64525.62,449.229,0.359619398,0.5615713482,191,3,212,1.5,,,,,0.01435406699,1.2,,,,6.21768,191.06308,0.03254255087,0.03363719086,,,,,,,,,Wild,,,,,,,,,,,,P-3-3,,,MAI04VLS,VLS,Scat,3
,Mattioli 2004,PM,179.6,Roe deer,Capreolus capreolus,Capreolus capreolus,"Mar 1994-Feb 2000, except 1997 and 1998",2945,1.031162465,16.4,,0.5076710912,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,65968,367.36,0.2275111631,0.2945170885,1301,203,1357,15.6,,,,,0.1759098787,10.8,14.4,,,125.4946,1403.6014,0.08940900173,0.09818788226,,,,,,,,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,,,,,P-6-6,,,MAI04PRA,PRA,Scat,3
,Mattioli 2004,PM,179.6,Wild boar,Sus scrofa,Sus scrofa,"Mar 1994-Feb 2000, except 1997 and 1998",2245,0.6313273341,12.5,,0.387002241,,,84.5,,,189702.5,1056.25,0.6541503323,1.891429697,1301,1116,1357,85.8,,,,,4.630705394,79.2,,,,1244.34,1403.6014,0.886533741,7.813192651,,,,,,,,,Wild,,,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,,,,,,,P-6-6,,,MAI04PRA,PRA,Scat,3
,Mattioli 2004,PM,179.6,Fallow deer,Dama dama,Dama dama,"Mar 1994-Feb 2000, except 1997 and 1998",611,0.1177263969,3.4,,0.1053266678,,,56.2,,,34338.2,191.08,0.1183385046,0.1342221535,1301,38,1357,2.9,,,,,0.02880970432,2.2,,,,33.7668,1403.6014,0.02405725728,0.0246502753,,,,,,,,,Wild,,,,,,,,,,,,P-6-6,,,MAI04PRA,PRA,Scat,3
,Mattioli 2004,VT,385.9,Roe deer,Capreolus capreolus,Capreolus capreolus,Mar 1998-Feb 2001,14857,3.234704986,38.5,,0.7638560411,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,332796.8,862.4,0.5011651625,1.004671536,286,174,295,60.8,,,,,1.438016529,53.4,16,,,107.5668,235.4634,0.4568302335,0.8410450317,,,,,,,,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,,,,,P-3-3,,,MAI04VAL,VAL,Scat,3
