Paper_ID,Study_Area,Area ,Prey_Identity ,Prey_Taxa,Prey_Taxa_Valid,Years,Num_Ind,Density,Density_Err,Avg_Mass_kg,Mass_Cat_A,BM_Avail,Prop_BM_Avail,Prop_Items_Avail,Scat_n,Num_Consumed,km2_Num_Consumed,Mean_perc_volume,Prop_Items_Consumed,Meth_BM_Consumed,BM_Consumed,Prop_BM_Consumed ,Absolute_FO,Err_Absolute_FO,Corrected_Abs_FO,Relative_FO,Livestock_Wild,Fight_Flight_Guarded,Notes,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM
Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2001/02 S,1485.32,2.84,,110.4,Large,313.536,0.5466089728,,,,,,,,,0.22,,,,,Wild,,,0.4024815013,-0.6208103718,-0.4260437646,0.2899448863
Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2001/02 S,2547.01,4.87,,25,Small,121.75,0.2122551874,,,,,,,,,0.174,,,,,Wild,,,0.8197679507,-0.1224595557,-0.09904122622,0.5905551546
Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2001/02 S,2395.34,4.58,,30.2,Medium,138.316,0.2411358398,,,,,,,,,0.04,,,,,Wild,,,0.1658816044,-0.7681485644,-0.7154400519,0.1194999591
Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2001/02 W,1140.14,2.18,,110.4,Large,240.672,0.5922309551,,,,,,,,,0.715,,,,,Wild,,,1.20729927,0.2666917084,0.09391534404,0.4542214071
Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2001/02 W,1223.82,2.34,,25,Small,58.5,0.1439532263,,,,,,,,,0.187,,,,,Wild,,,1.29903306,0.1553391815,0.130069056,0.4887343502
Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2001/02 W,1856.65,3.55,,30.2,Medium,107.21,0.2638158186,,,,,,,,,0.04,,,,,Wild,,,0.1516209309,-0.7916783302,-0.7366825718,0.05704424269
Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2002/03 S,1548.08,2.96,,110.4,Large,326.784,0.5685612677,,,,,,,,,0.361,,,,,Wild,,,0.6349359699,-0.3998791176,-0.2232894968,0.2556611392
Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2002/03 S,2275.05,4.35,,25,Small,108.75,0.1892107259,,,,,,,,,0.274,,,,,Wild,,,1.448120864,0.2358380842,0.1830468711,0.5830953787
Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2002/03 S,2411.03,4.61,,30.2,Medium,139.222,0.2422280063,,,,,,,,,0.097,,,,,Wild,,,0.4004491532,-0.4969549237,-0.428113256,0.1612434821
Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2002/03 W,1166.29,2.23,,110.4,Large,246.192,0.6046358559,,,,,,,,,0.412,,,,,Wild,,,0.6814018652,-0.3715855397,-0.1894836335,0.1506929229
Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2002/03 W,1213.36,2.32,,25,Small,58,0.1424452445,,,,,,,,,0.511,,,,,Wild,,,3.587343345,0.7256926177,0.5640178095,0.7933457211
Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2002/03 W,1783.43,3.41,,30.2,Medium,102.982,0.2529188995,,,,,,,,,0.064,,,,,Wild,,,0.2530455419,-0.6639326411,-0.5961111812,0.05596135598
Mengüllüoğlu 2019,SWPA,80,Wild boar,Sus scrofa,Sus scrofa,,88,1.1,,120,Large,130.5,0.402,,,,,,,,,0.747,,,,,Wild,,,1.858208955,0.629089079,0.3002610966,0.717723531
Mengüllüoğlu 2019,SWPA,80,Red deer,Cervus elaphus,Cervus elaphus,,53,0.663,,150,Large,165,0.509,,,,,,,,,0.046,,,,,Wild,,,0.09037328094,-0.9111088372,-0.8342342342,0.03490620908
Mengüllüoğlu 2019,SWPA,80,Anatolian wild sheep,Ovis gmelinii anatolica,Ovis aries orientalis,,58,0.58,,40,Medium,29,0.089,,,,,,,,,0.057,,,,,Wild,,,0.6404494382,-0.2355469843,-0.2191780822,0.2473702599
Mengüllüoğlu 2019,NM,110,Wild boar,Sus scrofa,Sus scrofa,,,0.829,,120,Large,90.8,0.21,,,,,,,,,0.682,,,,,Wild,,,3.247619048,0.7794438206,0.5291479821,0.9183854362
Mengüllüoğlu 2019,NM,110,Red deer,Cervus elaphus,Cervus elaphus,,,2.275,,150,Large,341.3,0.79,,,,,,,,,0.228,,,,,Wild,,,0.2886075949,-0.8544149842,-0.5520628684,0.0816145638
