Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Timepoint,Period,Season,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,n_Kills_Tot,n_Kills_Prey,Prop_Kills,Ratio_Kills,km2_Num_Consumed,Raw_BM_Consumed_kg,Perc_BM_Edible,Orig_BM_Consumed,Orig_Prop_BM_Consumed,Orig_Rat_BM_Cons,Livestock_Wild,Fight_Flight_Guarded,Prey_Notes,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,3,2020 (spring-autumn),SNW,384,,,0.59,,,84.5,,,60,44,73.3,,,,,,,,,,,,,Wild,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,3,2020 (spring-autumn),SNW,3393,,,5.22,,,22.4,,,60,15,25,,,,,,,,,,,,,Wild,,found in smaller groups than wild boar,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1,POP
,Ferretti 2019,Uccellina Hills,70,Fallow deer,Dama dama,Dama dama,1,May 2016-April 2017,SYR,686,,0.3,9.8,,,56.2,,,83,,,0.5,,,,,,,,,,,,Wild,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. Females and younf individuals cannot rely on large antlers for defence. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". Culled for population control purposes",A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Roe deer,Capreolus capreolus,Capreolus capreolus,1,May 2016-April 2017,SYR,539,,0.24,7.7,,,22.4,,,83,,,0.1,,,,,,,,,,,,Wild,,"Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals) in other seasons generally just solitary individuals or a mother with fawns. Thus greater detectability in winter than other seasons. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"".",A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Wild boar,Sus scrofa,Sus scrofa,1,May 2016-April 2017,SYR,1057,,0.46,15.1,,,84.5,,,83,,,0.4,,,,,,,,,,,,Wild,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. Culled and captured for population control",A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Fallow deer,Dama dama,Dama dama,2,May 2017-April 2018,SYR,672,,0.33,9.6,,,56.2,,,251,,,0.5,,,,,,,,,,,,Wild,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. Females and younf individuals cannot rely on large antlers for defence. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". Culled for population control purposes",A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Roe deer,Capreolus capreolus,Capreolus capreolus,2,May 2017-April 2018,SYR,532,,0.26,7.6,,,22.4,,,251,,,0.06,,,,,,,,,,,,Wild,,"Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals) in other seasons generally just solitary individuals or a mother with fawns. Thus greater detectability in winter than other seasons. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"".",A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Wild boar,Sus scrofa,Sus scrofa,2,May 2017-April 2018,SYR,875,,0.41,12.5,,,84.5,,,251,,,0.44,,,,,,,,,,,,Wild,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. Culled and captured for population control",A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1,PACK
,Gazzola 2007,Alta Valle di Susa,523,Red Deer,,Cervus elaphus,1,2000/01 S,SSU,1710,,,3.27,110.4,,240,361.008,,,,,,,,,,,,,,,39.6,,Wild,,,,,,,,,GAA07AVS,AVS,,,,,POP
,Gazzola 2007,Alta Valle di Susa,523,Roe Deer,,Capreolus capreolus,1,2000/01 S,SSU,3206,,,6.13,25,,22.4,153.25,,,,,,,,,,,,,,,14.4,,Wild,,,,,,,,,GAA07AVS,AVS,,,,,POP
