Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Density,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n
Number_ind_err is the +/- 90% CI. Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,107,0.07472067039,0.08916666667,0.06952566602,,,481,,,51467,42.88916667,0.07385483887,0.07974434459,101,,,,,,,,,14.5,,,,,,,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,,,,2,1998 (Spring-Autumn),SNW,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1000,1.85528757,0.8333333333,0.6497725796,,,613,,,613000,510.8333333,0.8796513538,7.309191935,101,,,,,,,,,8.8,,,,,,,,,Livestock,,,farmers reported seeing cattle chase away wolves,,,,,,2,1998 (Spring-Autumn),SNW,G,FARM,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK
Number_ind_err is the +/- 90% CI. Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,504,0.4732394366,0.42,0.3212237094,,,75,,,37800,31.5,0.05541993798,0.05867150939,232,,,,,,,,,48.7,,,,,,,,,Wild,,,flee,,,,,,3,1999 (Spring-Autumn),SNW,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK
Number_ind_err is the +/- 90% CI. Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,65,0.04321808511,0.05416666667,0.04142766093,,,481,,,31265,26.05416667,0.04583873971,0.04804087277,232,,,,,,,,,12,,,,,,,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,,,,3,1999 (Spring-Autumn),SNW,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1000,1.757469244,0.8333333333,0.6373486297,,,613,,,613000,510.8333333,0.8987413223,8.875696807,232,,,,,,,,,12.8,,,,,,,,,Livestock,,,farmers reported seeing cattle chase away wolves,,,,,,3,1999 (Spring-Autumn),SNW,G,FARM,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Bharal,Pseudois nayaur,Pseudois nayaur,29850,0.1606133979,5.97,0.13839,34,Calculated for by RB,51.8,202.98,0.07382621125,1546230,309.246,0.0390602975,0.04064802131,57,,,,,1.76,,,,4.42,,0.0409,,,,,,,Wild,,,Cliff-dwelling. Herd,Not known,0.5540037787,-0.3029446248,-0.2869981575,0.003174685641,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Himalayan tahr,Hemitragus jemlahicus,Hemitragus jemlahicus,4250,0.02009931426,0.85,0.0197,50,Calculated for by RB,67.90,42.50,0.01545774942,288575,57.715,0.007289876248,0.00734340879,57,,,,,0,,,,0,,0,,,,,,,Wild,,,Cliff-dwelling,Not known,0,-1,-1,0,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Tibetan argali,Ovis ammon hodgsonii,Ovis ammon hodgsonii,1200,0.005594405594,0.24,0.00556,80,Calculated for by RB,113.00,19.20,0.006983265622,135600,27.12,0.003425477672,0.003437251902,57,,,,,2.3,,,,8.95,,0.1257,,,,,,,Wild,,,Plains-dwelling,Not known,18.00017453,0.9067352377,0.894737809,0.1031489275,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Tibetan gazelle,Procapra picticaudata,Procapra picticaudata,450,0.002090592334,0.09,0.00209,20,Calculated for by RB,23.00,1.80,0.0006546811521,10350,2.07,0.0002614579197,0.0002615262978,57,,,,,6.31,,,,11.05,,0.0862,,,,,,,Wild,,,Plains-dwelling,Not known,131.6671478,0.9862062457,0.9849246778,0.7545107443,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Kiang,Equus kiang,Equus kiang,1250,0.005828864537,0.25,0.0058,100,Calculated for by RB,280.00,25.00,0.009092793779,350000,70,0.008841572163,0.008920442903,57,,,,,2.56,,,,10.84,,0.1748,,,,,,,Wild,,,Plains-dwelling,Not known,19.22401456,0.9169585602,0.9011076661,0.1101620699,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4
