Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Density,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n
Period it technically over a year but less than 1.5 years so RB decided to enter it as 1 year in n_C_Points,Janeiro-Otero 2022,Serra do Cando,54.58,Roe deer,Capreolus capreolus,Capreolus capreolus,4,0.002528445006,0.07,0.002522068096,24,Average adult (source unknown),22.4,1.68,0.00012455427,89.6,1.568,0.0001096264731,0.0001096384924,47,0,49,0,,,,,0,,0,0,,0,154.775,0,0,,Wild,,,,,0,-1,-1,0,,Dec 2017-Mar 2019,SYR,A,HH,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK
,Janeiro-Otero 2022,Serra do Cando,54.58,Wild boar,Sus scrofa,Sus scrofa,35,0.0225660864,0.64,0.02206809584,67,Average adult (source unknown),84.5,42.88,0.003179099462,2957.5,54.08,0.003780994684,0.003795344862,47,10,49,21.28,,,,,0.2564102564,,9.75,0.0774,,11.15,154.775,0.07204005815,0.07763272411,,Wild,,,,,24.34651729,0.9267537032,0.9210936959,0.8527218462,,Dec 2017-Mar 2019,SYR,A,HH,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK
,Janeiro-Otero 2022,Serra do Cando,54.58,Galician feral horses,Equus ferus atlanticus,Equus caballus,498,0.4577205882,9.124221326,0.3139974779,300,Average adult (source unknown),400,2737.266398,0.2029394154,199200,3649.688531,0.2551673989,0.342583553,47,38,49,85.65,,,,,3.454545455,,107.88,0.8422,,138.282,154.775,0.8934388629,8.384284242,,Feral,,,,,4.150007027,0.9089337027,0.6116510153,0.1453514526,,Dec 2017-Mar 2019,SYR,,E,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK
,Janeiro-Otero 2022,Serra do Cando,54.58,Goat,Capra hircus,Capra hircus,1,0.0006309148265,0.02,0.000630517024,28.5,Average adult (source unknown),46.9,0.57,0.00004225948445,46.9,0.938,0.00006558012229,0.00006558442332,47,0,49,0,,,,,0,,0,0,,0,154.775,0,0,,Livestock,,,Left in barns overnight,,0,-1,-1,0,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK
,Janeiro-Otero 2022,Serra do Cando,54.58,Cattle,Bos taurus,Bos taurus,928,1.410334347,17,0.5851197982,600,Average adult (source unknown),613,10200,0.7562223533,568864,10421,0.7285825739,2.684361813,47,1,49,2.13,,,,,0.02083333333,,5.24,0.0416,,5.343,154.775,0.03452107899,0.03575539376,,Livestock,,,Left unattended for long periods to graze freely,,0.05501027551,-0.9724014536,-0.8957161332,0.001926701184,,Dec 2017-Mar 2019,SYR,A,GSO,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK
,Janeiro-Otero 2022,Serra do Cando,54.58,Sheep,Ovis aries,Ovis aries,11,0.006984126984,0.2,0.006935687264,28.5,Average adult (source unknown),34.2,5.7,0.0004225948445,376.2,6.84,0.0004782175229,0.0004784463243,47,0,49,0,,,,,0,,0,0,,0,154.775,0,0,,Livestock,,,Left in barns overnight,,0,-1,-1,0,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK
,Janeiro-Otero 2022,Serra do Cando,54.58,Pig,Sus domestica,Sus scrofa scrofa,109,0.07379823968,2,0.06872635561,250,Average adult (source unknown),84.5,500,0.0370697232,9210.5,169,0.01181560839,0.01195688627,47,0,49,0,,,,,0,,0,0,,0,154.775,0,0,,Livestock,,,"Live ones are inaccessible, but carcasses dumped are accessible ",,0,-1,-1,0,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK
Period it technically over a year but less than 1.5 years so RB decided to enter it as 1 year in n_C_Points,Janeiro-Otero 2022,Serra do Candán,106.83,Roe deer,Capreolus capreolus,Capreolus capreolus,4,0.0004522328999,0.04,0.0004520284778,24,Average adult (source unknown),22.4,0.96,0.00002467131258,89.6,0.896,0.0000257009821,0.00002570164265,49,7,48,14.29,,,,,0.1707317073,,4.42,0.0341,,4.3274,127.8624,0.03384419501,0.03502974865,,Wild,,,,,1382.172103,0.9986032864,0.9985540483,0.7844678499,,Dec 2017-Mar 2019,SYR,A,HH,U,1,GRID + T,1,JAO22SCN,SCN,6,UK,UK,UK
,Janeiro-Otero 2022,Serra do Candán,106.83,Wild boar,Sus scrofa,Sus scrofa,52,0.005911106059,0.49,0.005876370211,67,Average adult (source unknown),84.5,32.83,0.0008437074918,4394,41.405,0.001187666477,0.001189078706,49,13,48,26.53,,,,,0.3714285714,,12.68,0.0977,,14.495,127.8624,0.1133640539,0.127858626,,Wild,,,,,115.7984265,0.9845235578,0.9828764816,0.06572274355,,Dec 2017-Mar 2019,SYR,A,HH,U,1,GRID + T,1,JAO22SCN,SCN,6,UK,UK,UK
,Janeiro-Otero 2022,Serra do Candán,106.83,Goat,Capra hircus,Capra hircus,11,0.001244625481,0.1,0.001243078314,28.5,Average adult (source unknown),46.9,2.85,0.00007324295923,515.9,4.69,0.0001345285782,0.0001345466785,49,3,48,6.12,,,,,0.06666666667,,2,0.0154,,2.4426,127.8624,0.0191033486,0.01947539384,,Livestock,,,Left in barns overnight,,210.2591179,0.9906773863,0.990532953,0.1193350074,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22SCN,SCN,6,UK,UK,UK
,Janeiro-Otero 2022,Serra do Candán,106.83,Cattle,Bos taurus,Bos taurus,5641,1.758416459,52.8,0.6374731608,600,Average adult (source unknown),613,31680,0.8141533152,3457933,32366.4,0.9284020836,12.96688689,49,19,48,38.78,,,,,0.6551724138,,99.54,0.7674,,101.517,127.8624,0.7939550642,3.853310255,,Livestock,,,Left unattended for long periods to graze freely,,0.9425743108,-0.1408271382,-0.02956164348,0.0005349690109,,Dec 2017-Mar 2019,SYR,A,GSO,U,1,GRID + T,1,JAO22SCN,SCN,6,UK,UK,UK
,Janeiro-Otero 2022,Serra do Candán,106.83,Sheep,Ovis aries,Ovis aries,75,0.008547982676,0.7,0.008475533959,28.5,Average adult (source unknown),34.2,19.95,0.0005127007146,2565,23.94,0.0006866981154,0.0006871699937,49,4,48,8.16,,,,,0.09090909091,,2.67,0.026,,2.8504,127.8624,0.02229271467,0.0228010111,,Livestock,,,Left in barns overnight,,50.71184662,0.9622917967,0.9613241427,0.02878209825,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22SCN,SCN,6,UK,UK,UK
,Janeiro-Otero 2022,Serra do Candán,106.83,Pig,Sus domestica,Sus scrofa scrofa,3066,0.5301746498,28.7,0.3464798282,250,Average adult (source unknown),84.5,7175,0.1843923623,259077,2425.15,0.06956332224,0.07476416602,49,2,48,4.08,,,,,0.04347826087,,4.88,0.376,,2.23,127.8624,0.01744062367,0.0177501982,,Livestock,,,"Live ones are inaccessible, but carcasses dumped are accessible ",,2.039130013,0.4543379724,0.3419169329,0.001157331951,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22SCN,SCN,6,UK,UK,UK
Period it technically over a year but less than 1.5 years so RB decided to enter it as 1 year in n_C_Points,Janeiro-Otero 2022,Estacas,14.05,Roe deer,Capreolus capreolus,Capreolus capreolus,1,0.005988023952,0.05,0.005952380952,24,Average adult (source unknown),22.4,1.2,0.0002113787554,22.4,1.12,0.0001860656426,0.0001861002695,24,0,21,0,,,,,0,,0,0,,0,62.3774,0,0,,Wild,,,,,0,-1,-1,0,,Dec 2017-Mar 2019,SYR,A,HH,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK
,Janeiro-Otero 2022,Estacas,14.05,Wild boar,Sus scrofa,Sus scrofa,9,0.05660377358,0.64,0.05357142857,67,Average adult (source unknown),84.5,42.88,0.007553267525,760.5,54.08,0.008984312459,0.009065762098,24,4,21,16.67,,,,,0.2352941176,,3.9,0.0757,,4.46,62.3774,0.0715002549,0.0770062192,,Wild,,,,,10.02215263,0.8299473769,0.8185472415,0.1486323714,,Dec 2017-Mar 2019,SYR,A,HH,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK
2017 there were 25 horses and then 11 additional horses were relocated to the study area in 2018,Janeiro-Otero 2022,Estacas,14.05,Galician feral horse,Equus ferus atlanticus,Equus caballus,36,0.2727272727,2.56227758,0.2142857143,300,Average adult (source unknown),400,768.683274,0.1354027614,14400,1024.911032,0.1702685088,0.2052091677,24,14,21,58.33,,,,,2,,39.75,0.7712,,50.946,62.3774,0.8167381135,4.456671974,,Feral,,,,,5.695600236,0.9112008113,0.7012963843,0.08446793823,,Dec 2017-Mar 2019,SYR,A,FARM,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK
,Janeiro-Otero 2022,Estacas,14.05,Goat,Capra hircus,Capra hircus,1,0.005988023952,0.1,0.005952380952,28.5,Average adult (source unknown),46.9,2.85,0.000502024544,46.9,4.69,0.0007791498785,0.0007797574264,24,2,21,8.33,,,,,0.1052631579,,1.33,0.0259,,1.6284,62.3774,0.02610560876,0.02680537951,,Livestock,,,Left in barns overnight,,51.59110309,0.9629191884,0.9619707539,0.7651158663,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK
,Janeiro-Otero 2022,Estacas,14.05,Cattle,Bos taurus,Bos taurus,112,2,8,0.6666666667,600,Average adult (source unknown),613,4800,0.8455150214,68656,4904,0.8147017067,4.39670378,24,1,21,4.17,,,,,0.05,,5.24,0.1017,,5.343,62.3774,0.08565602285,0.09368030522,,Livestock,,,Left unattended for long periods to graze freely,,0.1202817187,-0.9594675772,-0.7852652298,0.001783824069,,Dec 2017-Mar 2019,SYR,A,GSO,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK
,Janeiro-Otero 2022,Estacas,14.05,Sheep,Ovis aries,Ovis aries,6,0.03703703704,0.4,0.03571428571,28.5,Average adult (source unknown),34.2,11.4,0.002008098176,205.2,13.68,0.002272658921,0.002277835664,24,0,21,0,,,,,0,,0,0,,0,62.3774,0,0,,Livestock,,,Left in barns overnight,,0,-1,-1,0,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK
,Janeiro-Otero 2022,Estacas,14.05,Pig,Sus domestica,Sus scrofa scrofa,3,0.01818181818,0.2,0.01785714286,250,Average adult (source unknown),84.5,50,0.00880744814,253.5,16.9,0.002807597643,0.002815502441,24,0,21,0,,,,,0,,0,0,,0,62.3774,0,0,,Livestock,,,"Live ones are inaccessible, but carcasses dumped are accessible ",,0,-1,-1,0,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK
,Jędrzejewski 2012,1. Skaliskie Forest,200,Moose,Alces alces,Alces alces,,0.02040816327,,0.02,,,481,,,,,0.122,0.1384252331,40,,,,,,,,,,,0,,,,,,,Wild,,,,,,,,,,1999-2004,,,,,,,,JEI12SLF,SLF,4,1,0,1
,Jędrzejewski 2012,1. Skaliskie Forest,200,Red deer,Cervus elaphus,Cervus elaphus,,0.1764705882,,0.15,,,240,,,,,0.455,0.8349568606,40,,,,,,,,,,,0,,,,,,,Wild,,,,,,,,,,1999-2004,,,,,,,,JEI12SLF,SLF,4,1,0,1
,Jędrzejewski 2012,1. Skaliskie Forest,200,Roe deer,Capreolus capreolus,Capreolus capreolus,,1.43902439,,0.59,,,22.4,,,,,0.167,0.2005462822,40,,,,,,,,,,,0.429,,,,,,,Wild,,,,,,,,,,1999-2004,,,,,,,,JEI12SLF,SLF,4,1,0,1
,Jędrzejewski 2012,1. Skaliskie Forest,200,Wild boar,Sus scrofa,Sus scrofa,,0.3157894737,,0.24,,,84.5,,,,,0.256,0.3446869264,40,,,,,,,,,,,0.312,,,,,,,Wild,,,,,,,,,,1999-2004,,,,,,,,JEI12SLF,SLF,4,1,0,1
,Jędrzejewski 2012,2.  Rominta Forest,170,Moose,Alces alces,Alces alces,,0.05263157895,,0.05,,,481,,,,,0.168,0.2017956033,84,,,,,,,,,,,0,,,,,,,Wild,,,,,,,,,,1999-2004,,,,,,,,JEI12RMF,RMF,4,1,0,1
,Jędrzejewski 2012,2.  Rominta Forest,170,Red deer,Cervus elaphus,Cervus elaphus,,0.5873015873,,0.37,,,240,,,,,0.620,1.631453243,84,,,,,,,,,,,0.086,,,,,,,Wild,,,,,,,,,,1999-2004,,,,,,,,JEI12RMF,RMF,4,1,0,1
,Jędrzejewski 2012,2.  Rominta Forest,170,Roe deer,Capreolus capreolus,Capreolus capreolus,,0.4285714286,,0.3,,,22.4,,,,,0.047,0.04922716285,84,,,,,,,,,,,0.275,,,,,,,Wild,,,,,,,,,,1999-2004,,,,,,,,JEI12RMF,RMF,4,1,0,1
,Jędrzejewski 2012,2.  Rominta Forest,170,Wild boar,Sus scrofa,Sus scrofa,,0.3888888889,,0.28,,,84.5,,,,,0.165,0.1978757213,84,,,,,,,,,,,0.105,,,,,,,Wild,,,,,,,,,,1999-2004,,,,,,,,JEI12RMF,RMF,4,1,0,1
,Jędrzejewski 2012,3.  Pisz Forest,1350,Moose,Alces alces,Alces alces,,0.003009027081,,0.003,,,481,,,,,0.014,0.01370067212,72,,,,,,,,,,,0,,,,,,,Wild,,,,,,,,,,1998-2003,,,,,,,,JEI12PZF,PZF,4,1,0,1
,Jędrzejewski 2012,3.  Pisz Forest,1350,Red deer,Cervus elaphus,Cervus elaphus,,0.5337423313,,0.348,,,240,,,,,0.782,3.592829827,72,,,,,,,,,,,0.062,,,,,,,Wild,,,,,,,,,,1998-2003,,,,,,,,JEI12PZF,PZF,4,1,0,1
,Jędrzejewski 2012,3.  Pisz Forest,1350,Roe deer,Capreolus capreolus,Capreolus capreolus,,1.136752137,,0.532,,,22.4,,,,,0.112,0.1256390387,72,,,,,,,,,,,0.604,,,,,,,Wild,,,,,,,,,,1998-2003,,,,,,,,JEI12PZF,PZF,4,1,0,1
,Jędrzejewski 2012,3.  Pisz Forest,1350,Wild boar,Sus scrofa,Sus scrofa,,0.1325028313,,0.117,,,84.5,,,,,0.093,0.1020491372,72,,,,,,,,,,,0.068,,,,,,,Wild,,,,,,,,,,1998-2003,,,,,,,,JEI12PZF,PZF,4,1,0,1
prop individuals was reported as <0.001,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Moose,Alces alces,Alces alces,,0.0009,,0.0009,,,481,,,,,0.005,0.004706038383,63,,,,,,,,,,,0,,,,,,,Wild,,,,,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,1,0,1
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Red deer,Cervus elaphus,Cervus elaphus,,0.3675365487,,0.269,,,240,,,,,0.699,2.317209299,63,,,,,,,,,,,0.013,,,,,,,Wild,,,,,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,1,0,1
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Roe deer,Capreolus capreolus,Capreolus capreolus,,1.234650592,,0.553,,,22.4,,,,,0.134,0.1547744143,63,,,,,,,,,,,0.38,,,,,,,Wild,,,,,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,1,0,1
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Wild boar,Sus scrofa,Sus scrofa,,0.2163081784,,0.178,,,84.5,,,,,0.163,0.1943781411,63,,,,,,,,,,,0.094,,,,,,,Wild,,,,,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,1,0,1
,Jędrzejewski 2012,5.  Augustów Forest,1350,Moose,Alces alces,Alces alces,,,,,,,481,,,,,,,373,,,,,,,,,,,0,,,,,,,Wild,,,,,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,1,0,1
,Jędrzejewski 2012,5.  Augustów Forest,1350,Red deer,Cervus elaphus,Cervus elaphus,,,,,,,240,,,,,,,373,,,,,,,,,,,0.3021045576,,,,,,,Wild,,,,,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,1,0,1
,Jędrzejewski 2012,5.  Augustów Forest,1350,Roe deer,Capreolus capreolus,Capreolus capreolus,,,,,,,22.4,,,,,,,373,,,,,,,,,,,0.2372734584,,,,,,,Wild,,,,,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,1,0,1
,Jędrzejewski 2012,5.  Augustów Forest,1350,Wild boar,Sus scrofa,Sus scrofa,,,,,,,84.5,,,,,,,373,,,,,,,,,,,0.1405013405,,,,,,,Wild,,,,,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,1,0,1
,Jędrzejewski 2012,6. Biebrza National Park,640,Moose,Alces alces,Alces alces,,0.3071895425,,0.235,,,481,,,,,0.608,1.550091537,48,,,,,,,,,,,0.148,,,,,,,Wild,,,,,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,1,0,1
,Jędrzejewski 2012,6. Biebrza National Park,640,Red deer,Cervus elaphus,Cervus elaphus,,0.2547051443,,0.203,,,240,,,,,0.262,0.3550075964,48,,,,,,,,,,,0.102,,,,,,,Wild,,,,,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,1,0,1
,Jędrzejewski 2012,6. Biebrza National Park,640,Roe deer,Capreolus capreolus,Capreolus capreolus,,0.6,,0.375,,,22.4,,,,,0.045,0.04730888478,48,,,,,,,,,,,0.419,,,,,,,Wild,,,,,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,1,0,1
,Jędrzejewski 2012,6. Biebrza National Park,640,Wild boar,Sus scrofa,Sus scrofa,,0.2300123001,,0.187,,,84.5,,,,,0.085,0.09286532867,48,,,,,,,,,,,0,,,,,,,Wild,,,,,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,1,0,1
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Moose,Alces alces,Alces alces,,0.0162601626,,0.016,,,481,,,,,0.083,0.09044360378,53,,,,,,,,,,,0,,,,,,,Wild,,,,,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,1,0,1
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Red deer,Cervus elaphus,Cervus elaphus,,0.2755102041,,0.216,,,240,,,,,0.559,1.266005172,53,,,,,,,,,,,0.159,,,,,,,Wild,,,,,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,1,0,1
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Roe deer,Capreolus capreolus,Capreolus capreolus,,1.164502165,,0.538,,,22.4,,,,,0.130,0.1492658215,53,,,,,,,,,,,0.306,,,,,,,Wild,,,,,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,1,0,1
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Wild boar,Sus scrofa,Sus scrofa,,0.2936610608,,0.227,,,84.5,,,,,0.207,0.2605962541,53,,,,,,,,,,,0.156,,,,,,,Wild,,,,,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,1,0,1
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Bison,Bison bonasus,Bison bonasus,,0.003009027081,,0.003,,,673,,,,,0.022,0.02224335041,53,,,,,,,,,,,0,,,,,,,Wild,,,,,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,1,0,1
,Jędrzejewski 2012,8.  Białowieża Forest,600,Moose,Alces alces,Alces alces,,0.004016064257,,0.004,,,481,,,,,0.012,0.01208176921,1022,,,,,,,,,,,0.003,,,,,,,Wild,,,,,,,,,,1985-2000,,,,,,,,JEI12BPF,BPF,5,1,0,1
,Jędrzejewski 2012,8.  Białowieża Forest,600,Red deer,Cervus elaphus,Cervus elaphus,,0.5479876161,,0.354,,,240,,,,,0.527,1.114782148,1022,,,,,,,,,,,0.227,,,,,,,Wild,,,,,,,,,,1985-2000,,,,,,,,JEI12BPF,BPF,5,1,0,1
,Jędrzejewski 2012,8.  Białowieża Forest,600,Roe deer,Capreolus capreolus,Capreolus capreolus,,0.2626262626,,0.208,,,22.4,,,,,0.029,0.0297687732,1022,,,,,,,,,,,0.017,,,,,,,Wild,,,,,,,,,,1985-2000,,,,,,,,JEI12BPF,BPF,5,1,0,1
,Jędrzejewski 2012,8.  Białowieża Forest,600,Wild boar,Sus scrofa,Sus scrofa,,0.6077170418,,0.378,,,84.5,,,,,0.198,0.2471616761,1022,,,,,,,,,,,0.2,,,,,,,Wild,,,,,,,,,,1985-2000,,,,,,,,JEI12BPF,BPF,5,1,0,1
,Jędrzejewski 2012,8.  Białowieża Forest,600,Bison,Bison bonasus,Bison bonasus,,0.0593220339,,0.056,,,673,,,,,0.234,0.3052050384,1022,,,,,,,,,,,0.017,,,,,,,Wild,,,,,,,,,,1985-2000,,,,,,,,JEI12BPF,BPF,5,1,0,1
,Jędrzejewski 2012,9.  Sobibór Forest,1910,Moose,Alces alces,Alces alces,,0.07692307692,,0.029,,,481,,,,,0.184,0.2253455142,59,,,,,,,,,,,0,,,,,,,Wild,,,,,,,,,,2000-2005,,,,,,,,JEI12SBF,SBF,4,1,0,1
,Jędrzejewski 2012,9.  Sobibór Forest,1910,Red deer,Cervus elaphus,Cervus elaphus,,0.4926470588,,0.134,,,240,,,,,0.424,0.7361036405,59,,,,,,,,,,,0.358,,,,,,,Wild,,,,,,,,,,2000-2005,,,,,,,,JEI12SBF,SBF,4,1,0,1
,Jędrzejewski 2012,9.  Sobibór Forest,1910,Roe deer,Capreolus capreolus,Capreolus capreolus,,0.1941176471,,0.66,,,22.4,,,,,0.195,0.2421006952,59,,,,,,,,,,,0.572,,,,,,,Wild,,,,,,,,,,2000-2005,,,,,,,,JEI12SBF,SBF,4,1,0,1
,Jędrzejewski 2012,9.  Sobibór Forest,1910,Wild boar,Sus scrofa,Sus scrofa,,0.7729257642,,0.177,,,84.5,,,,,0.197,0.2456193651,59,,,,,,,,,,,0.016,,,,,,,Wild,,,,,,,,,,2000-2005,,,,,,,,JEI12SBF,SBF,4,1,0,1
,Jędrzejewski 2012,10. Roztocze,8590,Moose,Alces alces,Alces alces,,0.003009027081,,0.003,,,481,,,,,0.017,0.01772993004,84,,,,,,,,,,,0,,,,,,,Wild,,,,,,,,,,2000-2003,,,,,,,,JEI12RAS-R,RAS-R,4,1,0,1
,Jędrzejewski 2012,10. Roztocze,8590,Red deer,Cervus elaphus,Cervus elaphus,,0.3157894737,,0.24,,,240,,,,,0.695,2.282924045,84,,,,,,,,,,,0.195,,,,,,,Wild,,,,,,,,,,2000-2003,,,,,,,,JEI12RAS-R,RAS-R,4,1,0,1
,Jędrzejewski 2012,10. Roztocze,8590,Roe deer,Capreolus capreolus,Capreolus capreolus,,1.83286119,,0.647,,,22.4,,,,,0.175,0.2120752729,84,,,,,,,,,,,0.577,,,,,,,Wild,,,,,,,,,,2000-2003,,,,,,,,JEI12RAS-R,RAS-R,4,1,0,1
,Jędrzejewski 2012,10. Roztocze,8590,Wild boar,Sus scrofa,Sus scrofa,,0.1235955056,,0.11,,,84.5,,,,,0.112,0.1264010183,84,,,,,,,,,,,0.058,,,,,,,Wild,,,,,,,,,,2000-2003,,,,,,,,JEI12RAS-R,RAS-R,4,1,0,1
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Moose,Alces alces,Alces alces,,0,,0,,,481,,,,,0.000,0,87,,,,,,,,,,,0,,,,,,,Wild,,,,,,,,,,1998-2005,,,,,,,,JEI12BZM,BZM,4,2,1,1
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Red deer,Cervus elaphus,Cervus elaphus,,1.141327623,,0.533,,,240,,,,,0.899,8.938578716,87,,,,,,,,,,,0.442,,,,,,,Wild,,,,,,,,,,1998-2005,,,,,,,,JEI12BZM,BZM,4,2,1,1
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Roe deer,Capreolus capreolus,Capreolus capreolus,,0.6806722689,,0.405,,,22.4,,,,,0.064,0.06812907877,87,,,,,,,,,,,0.266,,,,,,,Wild,,,,,,,,,,1998-2005,,,,,,,,JEI12BZM,BZM,4,2,1,1
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Wild boar,Sus scrofa,Sus scrofa,,0.06609808102,,0.062,,,84.5,,,,,0.037,0.03824310909,87,,,,,,,,,,,0.151,,,,,,,Wild,,,,,,,,,,1998-2005,,,,,,,,JEI12BZM,BZM,4,2,1,1
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Moose,Alces alces,Alces alces,,0,,0,,,481,,,,,0.000,0,390,,,,,,,,,,,0,,,,,,,Wild,,,,,,,,,,1997-2001,,,,,,,,JEI12WBM,WBM,4,2,1,1
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Red deer,Cervus elaphus,Cervus elaphus,,0.2658227848,,0.21,,,240,,,,,0.708,2.422960435,390,,,,,,,,,,,0.422,,,,,,,Wild,,,,,,,,,,1997-2001,,,,,,,,JEI12WBM,WBM,4,2,1,1
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Roe deer,Capreolus capreolus,Capreolus capreolus,,2.846153846,,0.74,,,22.4,,,,,0.233,0.3034508009,390,,,,,,,,,,,0.325,,,,,,,Wild,,,,,,,,,,1997-2001,,,,,,,,JEI12WBM,WBM,4,2,1,1
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Wild boar,Sus scrofa,Sus scrofa,,0.05263157895,,0.05,,,84.5,,,,,0.059,0.06308229814,390,,,,,,,,,,,0.042,,,,,,,Wild,,,,,,,,,,1997-2001,,,,,,,,JEI12WBM,WBM,4,2,1,1
,Klich 2021,Grodno,Not given,Wild boar,Sus scrofa,,,,,,,,84.5,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,,,,,UK,UK,UK
,Klich 2021,,Not given,Elk,Alces alces,,,,,,,,481,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,,,,,,,,,,,,,UK,UK,UK
,Klich 2021,,Not given,Red deer,Cervus elaphus,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,,,,,UK,UK,UK
,Klich 2021,,Not given,Roe deer,Capreolus capreolus,,,,,,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,,,,,UK,UK,UK
,Klich 2021,,Not given,Beaver,Not given,Castor fiber,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,"Spend more time on land in the spring and autumn, making them more vulnerable to predation during these times. "" Beavers can be attractive prey for lone wolves or small packs, because they are an easier food source compared to ungulates [62,63].""",,,,,,,,,,,,,,,,,,UK,UK,UK
