Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Pack_Name,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Wild_Ung_Avail_n,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2001-2002,4898,,,40.819,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.7,242,,,,,,0.476,Wild,,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2002-2003,1472,,,12.267,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.39,262,,,,,,0.685,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2002-2003,4828,,,40.233,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.61,262,,,,,,0.263,Wild,,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2003-2004,3114,,,25.949,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.53,293,,,,,,0.712,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2003-2004,5724,,,47.7,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.47,293,,,,,,0.261,Wild,,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2004-2005,563,,,4.69,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.18,232,,,,,,0.488,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2004-2005,5151,,,42.929,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.82,232,,,,,,0.482,Wild,,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2005-2006,964,,,8.035,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.32,143,,,,,,0.461,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2005-2006,4198,,,34.987,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.68,143,,,,,,0.399,Wild,,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2007-2008,2559,,,21.322,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.54,208,,,,,,0.765,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2007-2008,4484,,,37.366,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.46,208,,,,,,0.201,Wild,,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2008-2009,1895,,,15.79,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.5,272,,,,,,0.696,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2008-2009,3919,,,32.658,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.5,272,,,,,,0.229,Wild,,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Mean of all years. (consumption includes 2006-2007 but density does not because no census was done that year),Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2000-2009,1707,,,14.221625,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.4,1974,1284,65.04559271,58.9261129,,,0.615,Wild,,,,,,,P-8-9,DC,MSP,8,T,MYR,9,DAS12ADC,ADC,2,,UK,UK,UK,PACK
,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2000-2009,4751,,,39.587625,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.6,1974,804,40.72948328,36.89765948,,,0.337,Wild,,,,,,,P-8-9,DC,MSP,8,T,MYR,9,DAS12ADC,ADC,2,,UK,UK,UK,PACK
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,2018 (spring-autumn),735,,,1.13,,,84.5,,,42,23,55.6,,,,,Wild,,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.02,,1,B,CAM,SNW,1,T,SNW,1,DOV22OOM,OOM,2,,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,2018 (spring-autumn),5291,,,8.14,,,22.4,,,42,5,11.1,,,,,Wild,,,found in smaller groups than wild boar,0.02,,1,B,CAM,SNW,1,T,SNW,1,DOV22OOM,OOM,2,,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,2019 (spring-autumn),715,,,1.1,,,84.5,,,25,22,88.9,,,,,Wild,,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.02,,1,B,CAM,SNW,1,T,SNW,1,DOV22OOM,OOM,2,,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,2019 (spring-autumn),4440,,,6.83,,,22.4,,,25,1,3.7,,,,,Wild,,,found in smaller groups than wild boar,0.02,,1,B,CAM,SNW,1,T,SNW,1,DOV22OOM,OOM,2,,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,2020 (spring-autumn),384,,,0.59,,,84.5,,,60,44,73.3,,,,,Wild,,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.06,,1,B,CAM,SNW,1,T,SNW,1,DOV22OOM,OOM,2,,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,2020 (spring-autumn),3393,,,5.22,,,22.4,,,60,15,25,,,,,Wild,,,found in smaller groups than wild boar,0.06,,1,B,CAM,SNW,1,T,SNW,1,DOV22OOM,OOM,2,,2,1,1,POP
,Ferretti 2019,Uccellina Hills,70,Fallow deer,Dama dama,Dama dama,May 2016-April 2017,686,,0.3,9.8,,,56.2,,,83,,,0.5,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. Females and younf individuals cannot rely on large antlers for defence. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". Culled for population control purposes",,,1,A,PC,SSU,1,T,SYR,1,FEI19UCH,UCH,3,,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Roe deer,Capreolus capreolus,Capreolus capreolus,May 2016-April 2017,539,,0.24,7.7,,,22.4,,,83,,,0.1,,,,Wild,,,"Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals) in other seasons generally just solitary individuals or a mother with fawns. Thus greater detectability in winter than other seasons. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",,,1,A,PC,SSU,1,T,SYR,1,FEI19UCH,UCH,3,,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Wild boar,Sus scrofa,Sus scrofa,May 2016-April 2017,1057,,0.46,15.1,,,84.5,,,83,,,0.4,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. Culled and captured for population control",,,1,A,PC,SSU,1,T,SYR,1,FEI19UCH,UCH,3,,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Fallow deer,Dama dama,Dama dama,May 2017-April 2018,672,,0.33,9.6,,,56.2,,,251,,,0.5,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. Females and younf individuals cannot rely on large antlers for defence. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". Culled for population control purposes",,,2,A,PC,SSU,1,T,SYR,1,FEI19UCH,UCH,3,,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Roe deer,Capreolus capreolus,Capreolus capreolus,May 2017-April 2018,532,,0.26,7.6,,,22.4,,,251,,,0.06,,,,Wild,,,"Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals) in other seasons generally just solitary individuals or a mother with fawns. Thus greater detectability in winter than other seasons. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",,,2,A,PC,SSU,1,T,SYR,1,FEI19UCH,UCH,3,,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Wild boar,Sus scrofa,Sus scrofa,May 2017-April 2018,875,,0.41,12.5,,,84.5,,,251,,,0.44,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. Culled and captured for population control",,,2,A,PC,SSU,1,T,SYR,1,FEI19UCH,UCH,3,,1,0,1,PACK
Density 95% CI reported by original density source (Valente et al 2014) = 0.68-2.21,Figueiredo 2020,Montesinho Natural Park,350,Roe deer,Capreolus capreolus,Capreolus capreolus,Nov 2017-Aug 2018 and June-Aug 2019 ,430.5,,,1.23,24,Estimated based on literature,22.4,29.52,,85,37,44,39,,,0.233,Wild,,,,,,1,E-5-2,PC,SYR,1,T,?,2,FIO20MNP,MNP,6,,1,0,1,POP
Density 95% CI reported by original density source (Torres et al 2015) = 3.65-9.25,Figueiredo 2020,Montesinho Natural Park,350,Red deer,Cervus elaphus,Cervus elaphus,Nov 2017-Aug 2018 and June-Aug 2019 ,2033.5,,,5.81,100,Estimated based on literature,240,581,,85,23,27,24,,,0.273,Wild,,,,,,1,E-5-2,PC,MWI,2,T,?,2,FIO20MNP,MNP,6,,1,0,1,POP
,Figueiredo 2020,Montesinho Natural Park,350,Cattle,Bos taurus,Bos taurus,Nov 2017-Aug 2018 and June-Aug 2019 ,189,,,0.54,,,613,,,85,0,0,0,,,0,Livestock,guarded,,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area.,,,1,E-8-2,E,U,1,T,?,2,FIO20MNP,MNP,6,,1,0,1,POP
PanTheria has no distiction between wild or domestic pigs.,Figueiredo 2020,Montesinho Natural Park,350,Domestic pig,Sus scrofa domesticus,Sus scrofa scrofa,Nov 2017-Aug 2018 and June-Aug 2019 ,3.5,,,0.01,,,84.5,,,85,0,0,0,,,0,Livestock,,,,,,1,E-8-2,E,U,1,T,?,2,FIO20MNP,MNP,6,,1,0,1,POP
,Figueiredo 2020,Montesinho Natural Park,350,Sheep,Ovis aries,Ovis aries,Nov 2017-Aug 2018 and June-Aug 2019 ,3223.5,,,9.21,,,34.2,,,85,0,0,0,,,0,Livestock,guarded,,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area.,,,1,E-8-2,E,U,1,T,?,2,FIO20MNP,MNP,6,,1,0,1,POP
,Figueiredo 2020,Montesinho Natural Park,350,Domestic goat,Capra hircus,Capra hircus,Nov 2017-Aug 2018 and June-Aug 2019 ,325.5,,,0.93,28.5,Estimated based on literature,46.9,26.505,,85,4,5,4,,,0.02599,Livestock,semi-guarded,,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area. negative selection likely due to increased livestock protection measures.,,,1,E-8-2,E,U,1,T,?,2,FIO20MNP,MNP,6,,1,0,1,POP
"Density recorded here for winter is pellets per transect and their standard error. Only 0.02 deer/km^2 overwinter in this region, the rest migrate to a deer yard 15km away",Forbes 1996,Algonquin Park A,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Winters 1987-1992,,,,0.1,75,Average of both adult sexes combined,75,,,208,,,9.1,,,0.043,Wild,,,,,,,P-5-5,PC,MSP,5,T,MWI,5,FOS96AGP-A,AGP-A,2,,UK,UK,UK,POP
71% of the 41 carcasses were scavenged animals that died of winter tick infestation. 0.5 moose/km^2 ,Forbes 1996,Algonquin Park A,,Moose,Alces alces,Alces alces,Winters 1987-1992,,,,9.3,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,208,,,49.2,,,0.873,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,P-5-5,PC + AC,MSP + MWI,5,T,MWI,5,FOS96AGP-A,AGP-A,2,,UK,UK,UK,POP
,Forbes 1996,Algonquin Park B,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Winters 1987-1992,,,,0.9,75,Average of both adult sexes combined,75,,,461,,,32.5,,,0.225,Wild,,,,,,,P-5-5,PC,MSP,5,T,MWI,5,FOS96AGP-B,AGP-B,2,,UK,UK,UK,POP
0.45 moose/km^2,Forbes 1996,Algonquin Park B,,Moose,Alces alces,Alces alces,Winters 1987-1992,,,,7.2,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,461,,,26.6,,,0.646,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,P-5-5,PC + AC,MSP + MWI,5,T,MWI,5,FOS96AGP-B,AGP-B,2,,UK,UK,UK,POP
"""Deer (Odocoileus virginianus) were believed to be absent in the region until the mid-1880s, peaked to chronic overpopulation in the 1950s and early 1960s, and became locally extirpated by the mid 1970s""",Forbes 1996,Algonquin Park C,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Winters 1987-1992,,,,1.4,75,Average of both adult sexes combined,75,,,767,,,27.1,,,0.135,Wild,,,,,,,P-5-5,PC,MSP,5,T,MWI,5,FOS96AGP-C,AGP-C,2,,UK,UK,UK,POP
0.45 moose/km^2,Forbes 1996,Algonquin Park C,,Moose,Alces alces,Alces alces,Winters 1987-1992,,,,8.1,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,767,,,40.1,,,0.717,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,P-5-5,PC + AC,MSP + MWI,5,T,MWI,5,FOS96AGP-C,AGP-C,2,,UK,UK,UK,POP
Density recorded here for summer is tracks per transect,Forbes 1996,Algonquin Park A,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Summers 1987-1992,,,,1,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,371,,,8.6,,,0.047,Wild,,,,,,,P-5-5,TC,MSU,5,T,MSU,5,FOS96AGP-A,AGP-A,2,,UK,UK,UK,POP
,Forbes 1996,Algonquin Park A,,Moose,Alces alces,Alces alces,Summers 1987-1992,,,,19.9,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,371,,,48.7,,,0.821,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,P-5-5,TC,MSU,5,T,MSU,5,FOS96AGP-A,AGP-A,2,,UK,UK,UK,POP
,Forbes 1996,Algonquin Park B,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Summers 1987-1992,,,,10.6,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,186,,,38.9,,,0.273,Wild,,,,,,,P-5-5,TC,MSU,5,T,MSU,5,FOS96AGP-B,AGP-B,2,,UK,UK,UK,POP
,Forbes 1996,Algonquin Park B,,Moose,Alces alces,Alces alces,Summers 1987-1992,,,,14.2,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,186,,,24.7,,,0.576,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,P-5-5,TC,MSU,5,T,MSU,5,FOS96AGP-B,AGP-B,2,,UK,UK,UK,POP
,Forbes 1996,Algonquin Park C,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Summers 1987-1992,,,,12.1,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,823,,,36.4,,,0.248,Wild,,,,,,,P-5-5,TC,MSU,5,T,MSU,5,FOS96AGP-C,AGP-C,2,,UK,UK,UK,POP
,Forbes 1996,Algonquin Park C,,Moose,Alces alces,Alces alces,Summers 1987-1992,,,,17.4,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,823,,,32.4,,,0.64,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,P-5-5,TC,MSU,5,T,MSU,5,FOS96AGP-C,AGP-C,2,,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2000/01 S,1710,,,3.27,110.4,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",240,361.008,0.526408805,NR,,,,,,0.396,Wild,,,,0.01338432122,,,D,MTRX,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2000/01 S,3206,,,6.13,25,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",22.4,153.25,0.2234636057,NR,,,,,,0.144,Wild,,,,0.01338432122,,,D,MTRX,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2000/01 S,2971,,,5.68,30.2,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",32.8,171.536,0.2501275893,NR,,,,,,0.185,Wild,,,"frequently use ""wide-rocky and high altitude area"" and are well adapted to snowy conditions making them hard to catch for wolves",0.01338432122,,,D,CNT,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2000/01 W,1140,,,2.18,110.4,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",240,240.672,0.5882646252,NR,,,,,,0.645,Wild,,,,0.017208413,,,D,CNT,SWI,1,U,SWI,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2000/01 W,1313,,,2.51,25,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",22.4,62.75,0.1533772322,NR,,,,,,0.23,Wild,,,,0.017208413,,,D,CNT,SWI,1,U,SWI,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
Unclear wether chamois were counted in both summer and winter or juveniles were just subtracted from summer to get winter densities,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2000/01 W,1831,,,3.5,30.2,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",32.8,105.7,0.2583581426,NR,,,,,,0.109,Wild,,,"frequently use ""wide-rocky and high altitude area"" and are well adapted to snowy conditions making them hard to catch for wolves",0.017208413,,,D,MTRX?,SWI,1,U,SWI,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2001/02 S,1485,,,2.84,110.4,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",240,313.536,0.5466089728,NR,,,,,,0.22,Wild,,,,0.02868068834,,,D,MTRX,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2001/02 S,2547,,,4.87,25,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",22.4,121.75,0.2122551874,NR,,,,,,0.174,Wild,,,,0.02868068834,,,D,MTRX,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2001/02 S,2395,,,4.58,30.2,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",32.8,138.316,0.2411358398,NR,,,,,,0.04,Wild,,,"frequently use ""wide-rocky and high altitude area"" and are well adapted to snowy conditions making them hard to catch for wolves",0.02868068834,,,D,CNT,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
