Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Pack_Name,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Wild_Ung_Avail_n,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Tibetan gazelle,Procapra picticaudata,Procapra picticaudata,2012-2013,450,,,0.09,20,Calculated for by RB,23.00,1.80,0.0006546811521,57,,,6.31,11.05,,0.0862,Wild,,,Plains-dwelling,Not known,,,,CNT,U,1,GRID,SYR,1,CHI17CHM,CHM,10,,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Kiang,Equus kiang,Equus kiang,2012-2013,1250,,,0.25,100,Calculated for by RB,280.00,25.00,0.009092793779,57,,,2.56,10.84,,0.1748,Wild,,,Plains-dwelling,Not known,,,,CNT,U,1,GRID,SYR,1,CHI17CHM,CHM,10,,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Goat,Capra hircus,Capra hircus,2012-2013,81950,,,16.39,25,Calculated for by RB,46.9,409.75,0.14903089,57,,,4.15,8.53,,0.071,Livestock,"semi-guarded, dispersed in pasture",,"Herd. Plains-dwelling. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,,,CNT,U,1,GRID,SYR,1,CHI17CHM,CHM,10,,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Sheep,Ovis aries,Ovis aries,2012-2013,31800,,,6.36,30,Calculated for by RB,34.2,190.80,0.06939620212,57,,,0.53,1.23,,0.0109,Livestock,"semi-guarded, less dispersed in pasture",,"Herd. Plains-dwelling. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,,,CNT,U,1,GRID,SYR,1,CHI17CHM,CHM,10,,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Horse,Equus ferus caballus,Equus caballus,2012-2013,6200,,,1.24,110,Calculated for by RB,400.00,136.40,0.04961028286,57,,,1.2,5.26,,0.0903,Livestock,unattended in pastures,,"Herd. Plains-dwelling. Left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,,,CNT,U,1,GRID,SYR,1,CHI17CHM,CHM,10,,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Yak/Chauri,Bos spp,Bos grunniens,2012-2013,54600,,,10.92,150,Calculated for by RB,500,1638.00,0.5957598484,57,,,0.87,4.18,,0.0892,Livestock,"unattented, too large",,"Herd. Plains-dwelling. Milking yak cows are brought back to the corrals/pens in the afternoon or in the morning on a regular basis. Males left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,,,CNT,U,1,GRID,SYR,1,CHI17CHM,CHM,10,,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively. Lulu cows are a ""dwarf"" breed and according to wikipedia they are one of the smallest breeds and weigh only 68-153kg.",Chetri 2017,Central Himalayas,5000,Lulu cow,Bos taurus sp,Bos taurus,2012-2013,4150,,,0.83,100,Calculated for by RB,613,83.00,0.03018807535,57,,,1.09,4.6,,0.0742,Livestock,,,"Herd. Plains-dwelling. Milking yak cows are brought back to the corrals/pens in the afternoon or in the morning on a regular basis. Males left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,,,CNT,U,1,GRID,SYR,1,CHI17CHM,CHM,10,,6,2,4,POP
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2000-2001,2100,,,17.497,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.47,178,,,,,,0.559,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2000-2001,4801,,,40.009,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.53,178,,,,,,0.421,Wild,,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2001-2002,987,,,8.223,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.3,242,,,,,,0.482,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,,UK,UK,UK,PACK
