Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,BM_Equiv,n_Kills_Tot,n_Kills_Prey,n_Kill_Anal,Prop_Kills,Ratio_Kills,Prop_Kills_Anal,Perc_Kills_Anal,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,Num_Avail_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pop_Scale
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Red deer,Cervus elaphus,Cervus elaphus,,,0.21,,,,240,,,,0.422,,,93,,,,,,,Wild,,,,,,1997-2001,,,,,,,,JEI12WBM,WBM,4,POP
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.74,,,,22.4,,,,0.325,,,93,,,,,,,Wild,,,,,,1997-2001,,,,,,,,JEI12WBM,WBM,4,POP
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Wild boar,Sus scrofa,Sus scrofa,,,0.05,,,,84.5,,,,0.042,,,93,,,,,,,Wild,,,,,,1997-2001,,,,,,,,JEI12WBM,WBM,4,POP
"Number of wolf killed moose is reported in text as 23 but in table 1 its reported as 5, table is just raw numbers from this study so RB assumes 5 is correct. no total sum of all kills is ever actually given.  WT deer could be broken down into sex and age classes. Any deer which could not be ID'd to species and was found in a WT deer winter range, was assumed to be a WT deer. Density is tracks/km^2",Kunkel 1999,North Fork Flathead River Glacier National Park,1000,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,14800,,0.74,14.8,,,75,,,,,,,166,138,166,0.83,,,,Wild,,,prefer closed habitats,,,1992-1996 Winter (Nov-Apr),MWI,P-3-4,TS,MWI,3,TRL / SNOW,4,KUL99NFF,NFF,3,POP
elk could be broken down into age classes. The 68 additional elk carcasses from 1985-1991 (almost certainly from Boyd) were not included in extraction. Density is tracks/km^2,Kunkel 1999,North Fork Flathead River Glacier National Park,1000,Elk,Cervus elaphus,Cervus elaphus,3200,,0.16,3.2,,,240,,,,,,,166,23,166,0.14,,,,Wild,,,,,,1992-1996 Winter (Nov-Apr),MWI,P-3-4,TS,MWI,3,TRL / SNOW,4,KUL99NFF,NFF,3,POP
Density is tracks/km^2,Kunkel 1999,North Fork Flathead River Glacier National Park,1000,Moose,Alces alces,Alces alces,1900,,0.1,1.9,,,481,,,,,,,166,5,166,0.03,,,,Wild,,,,,,1992-1996 Winter (Nov-Apr),MWI,P-3-4,TS,MWI,3,TRL / SNOW,4,KUL99NFF,NFF,3,POP
137 bison scavenged over the study period,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,681,0.043,,0.6844221106,,,620,,,,,,,,,,0,,,,Wild,,,,,,Winter 1995/1996,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,15913,,,15.99296482,,,240,,,,,,,,,,1,,,,Wild,,,migrate seasonally,,,Winter 1995/1996,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,1112,0.078,,1.11758794,,,620,,,,,,,,,,0,,,,Wild,,,,,,Winter 1996/1997,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,14219,,,14.29045226,,,240,,,,,,,,,,1,,,,Wild,,,,,,Winter 1996/1997,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,784,0.063,,0.7879396985,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 1997/1998,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,12376,,,12.43819095,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 1997/1998,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
